label,value,slug,optionType
Bethune College,bethune college,bethune-college,institute
Farook College,farook college,farook-college,institute
Mahendra Arts & Science College,mahendra arts & science college,mahendra-arts--science-college,institute
St. Xavier’s College, Mumbai,st. xavier’s college, mumbai,st-xaviers-college-mumbai,institute
Mahatma Gandhi Government Arts College,mahatma gandhi government arts college,mahatma-gandhi-government-arts-college,institute
Mahatma Gandhi College, Thiruvananthapuram,mahatma gandhi college, thiruvananthapuram,mahatma-gandhi-college-thiruvananthapuram,institute
Lady Brabourne College,lady brabourne college,lady-brabourne-college,institute
Nehru Arts and Science College,nehru arts and science college,nehru-arts-and-science-college,institute
Deshbandhu College,deshbandhu college,deshbandhu-college,institute
St Alberts College,st alberts college,st-alberts-college,institute
Government Arts College, Thiruvananthapuram,government arts college, thiruvananthapuram,government-arts-college-thiruvananthapuram,institute
Vimala College,vimala college,vimala-college,institute
Fatima Mata National College,fatima mata national college,fatima-mata-national-college,institute
A. V. C. College,a. v. c. college,a-v-c-college,institute
Anna Adarsh College for Women,anna adarsh college for women,anna-adarsh-college-for-women,institute
Auxilium College,auxilium college,auxilium-college,institute
Bharathi Womens College,bharathi womens college,bharathi-womens-college,institute
Bharathidasan Government College for Women,bharathidasan government college for women,bharathidasan-government-college-for-women,institute
Catholicate College,catholicate college,catholicate-college,institute
Christ College,christ college,christ-college,institute
CMS College,cms college,cms-college,institute
D. A. V. College,d. a. v. college,d-a-v-college,institute
Dr Ambedkar Government Arts College,dr ambedkar government arts college,dr-ambedkar-government-arts-college,institute
Dr. S. N. S. Rajalakshmi College of Arts and Science,dr. s. n. s. rajalakshmi college of arts and science,dr-s-n-s-rajalakshmi-college-of-arts-and-science,institute
Goswami Ganesh Dutta S.D. College,goswami ganesh dutta s.d. college,goswami-ganesh-dutta-sd-college,institute
Government Arts College,government arts college,government-arts-college,institute
Government Arts College,government arts college,government-arts-college,institute
Government Arts College,government arts college,government-arts-college,institute
Government College,government college,government-college,institute
Government College of Arts, Science and Commerce,government college of arts, science and commerce,government-college-of-arts-science-and-commerce,institute
Government Institute of Forensic Science,government institute of forensic science,government-institute-of-forensic-science,institute
Government Victoria College,government victoria college,government-victoria-college,institute
Holy Cross College,holy cross college,holy-cross-college,institute
Institute of Science & Technology for Advanced Studies & Research (ISTAR) College,institute of science & technology for advanced studies & research (istar) college,institute-of-science--technology-for-advanced-studies--research-istar-college,institute
Justice Basher Ahmed Sayeed College for Women,justice basher ahmed sayeed college for women,justice-basher-ahmed-sayeed-college-for-women,institute
Kalindi College,kalindi college,kalindi-college,institute
Lakshmi Bai College,lakshmi bai college,lakshmi-bai-college,institute
Maharajas College,maharajas college,maharajas-college,institute
Mar Athanasius College,mar athanasius college,mar-athanasius-college,institute
Marian College,marian college,marian-college,institute
MS Ramaiah College of Arts Science & Commerce,ms ramaiah college of arts science & commerce,ms-ramaiah-college-of-arts-science--commerce,institute
N. G. M. College,n. g. m. college,n-g-m-college,institute
National College,national college,national-college,institute
Nirmala College for Women,nirmala college for women,nirmala-college-for-women,institute
Nirmalagiri College,nirmalagiri college,nirmalagiri-college,institute
Pachhunga University College,pachhunga university college,pachhunga-university-college,institute
Rathinam College of Arts and Science,rathinam college of arts and science,rathinam-college-of-arts-and-science,institute
Sarah Tucker College,sarah tucker college,sarah-tucker-college,institute
Scottish Church College,scottish church college,scottish-church-college,institute
Seethalakshmi Ramaswami College,seethalakshmi ramaswami college,seethalakshmi-ramaswami-college,institute
Shrimathi Devkunvar Nanalal Bhatt Vaishnav College For Women,shrimathi devkunvar nanalal bhatt vaishnav college for women,shrimathi-devkunvar-nanalal-bhatt-vaishnav-college-for-women,institute
Silver Jubilee Degree College,silver jubilee degree college,silver-jubilee-degree-college,institute
Sri Aurobindo College (Evening),sri aurobindo college (evening),sri-aurobindo-college-evening,institute
Sri Meenakshi Government College for Women,sri meenakshi government college for women,sri-meenakshi-government-college-for-women,institute
Sri Ramakrishna College of Arts and Science,sri ramakrishna college of arts and science,sri-ramakrishna-college-of-arts-and-science,institute
Sri Sarada College for Women,sri sarada college for women,sri-sarada-college-for-women,institute
SRR & CVR Govt. Degree College,srr & cvr govt. degree college,srr--cvr-govt-degree-college,institute
St. Aloysius College,st. aloysius college,st-aloysius-college,institute
St. Dominics College,st. dominics college,st-dominics-college,institute
St. Joseph`s Arts & Science College,st. joseph`s arts & science college,st-josephs-arts--science-college,institute
St. Josephs College,st. josephs college,st-josephs-college,institute
St. Thomas College,st. thomas college,st-thomas-college,institute
St. Xaviers College,st. xaviers college,st-xaviers-college,institute
Aditi Mahavidyalaya,aditi mahavidyalaya,aditi-mahavidyalaya,institute
Alphonsa College,alphonsa college,alphonsa-college,institute
Arul Anandar College,arul anandar college,arul-anandar-college,institute
Aryabhatta College,aryabhatta college,aryabhatta-college,institute
Baselius College,baselius college,baselius-college,institute
Bhavans Vivekananda College of Science Humanities and Commerce,bhavans vivekananda college of science humanities and commerce,bhavans-vivekananda-college-of-science-humanities-and-commerce,institute
Bhim Rao Ambedkar College,bhim rao ambedkar college,bhim-rao-ambedkar-college,institute
Cauvery College for Women,cauvery college for women,cauvery-college-for-women,institute
College of Vocational Studies,college of vocational studies,college-of-vocational-studies,institute
Delhi School of Professional Studies and Research,delhi school of professional studies and research,delhi-school-of-professional-studies-and-research,institute
Devamatha College,devamatha college,devamatha-college,institute
Dhempe College of Arts & Science,dhempe college of arts & science,dhempe-college-of-arts--science,institute
Dr. Gafoor Memorial MES Mampad College,dr. gafoor memorial mes mampad college,dr-gafoor-memorial-mes-mampad-college,institute
Dr. V. S. Krishna Govt. Degree College,dr. v. s. krishna govt. degree college,dr-v-s-krishna-govt-degree-college,institute
Government Arts College,government arts college,government-arts-college,institute
Government College of Arts, Science and Commerce,government college of arts, science and commerce,government-college-of-arts-science-and-commerce,institute
Government Post Graduate College for Girls,government post graduate college for girls,government-post-graduate-college-for-girls,institute
Indira Gandhi College of Arts and Science,indira gandhi college of arts and science,indira-gandhi-college-of-arts-and-science,institute
Kristu Jayanti College,kristu jayanti college,kristu-jayanti-college,institute
Kuriakose Gregorios College, Pampady,kuriakose gregorios college, pampady,kuriakose-gregorios-college-pampady,institute
Late Sushilabai Ramchandrarao Mamidwar College of Social Work,late sushilabai ramchandrarao mamidwar college of social work,late-sushilabai-ramchandrarao-mamidwar-college-of-social-work,institute
Loyala Academy,loyala academy,loyala-academy,institute
M.O.P Vaishnav College for Women,m.o.p vaishnav college for women,mop-vaishnav-college-for-women,institute
Madura College,madura college,madura-college,institute
Mar Athanasius College for Advanced Studies,mar athanasius college for advanced studies,mar-athanasius-college-for-advanced-studies,institute
Mercy College,mercy college,mercy-college,institute
Midnapore College,midnapore college,midnapore-college,institute
Muthurangam Government Arts College,muthurangam government arts college,muthurangam-government-arts-college,institute
Nesamony Memorial Christian College,nesamony memorial christian college,nesamony-memorial-christian-college,institute
Newman College,newman college,newman-college,institute
Nirmala College,nirmala college,nirmala-college,institute
Periyar E.V.R. College,periyar e.v.r. college,periyar-evr-college,institute
Ponda Education Society Shri Ravi S. Naik College of Arts and Science,ponda education society shri ravi s. naik college of arts and science,ponda-education-society-shri-ravi-s-naik-college-of-arts-and-science,institute
Post Graduate Government College for Girls,post graduate government college for girls,post-graduate-government-college-for-girls,institute
PSMO College,psmo college,psmo-college,institute
Rajah Serfoji Government College,rajah serfoji government college,rajah-serfoji-government-college,institute
S S Jain Subodh P G College,s s jain subodh p g college,s-s-jain-subodh-p-g-college,institute
S.K. Womens College,s.k. womens college,sk-womens-college,institute
Sacred Heart College,sacred heart college,sacred-heart-college,institute
Shaheed Bhagat Singh College,shaheed bhagat singh college,shaheed-bhagat-singh-college,institute
Shri Shankarlal Sundarbai Shasun Jain College for Women,shri shankarlal sundarbai shasun jain college for women,shri-shankarlal-sundarbai-shasun-jain-college-for-women,institute
Shyam Lal College (Evening),shyam lal college (evening),shyam-lal-college-evening,institute
Sree Narayana College Nattika,sree narayana college nattika,sree-narayana-college-nattika,institute
St. Wilfreds PG College,st. wilfreds pg college,st-wilfreds-pg-college,institute
T. K. M. College of Arts and Science,t. k. m. college of arts and science,t-k-m-college-of-arts-and-science,institute
The American College,the american college,the-american-college,institute
The New College,the new college,the-new-college,institute
University College,university college,university-college,institute
V.V.Vanniaperumal College for Women,v.v.vanniaperumal college for women,vvvanniaperumal-college-for-women,institute
Vivekananda College,vivekananda college,vivekananda-college,institute
University of Delhi,university of delhi,university-of-delhi,institute
Indian Institute of Technology Bombay,indian institute of technology bombay,indian-institute-of-technology-bombay,institute
Indian Institute of Technology Kanpur,indian institute of technology kanpur,indian-institute-of-technology-kanpur,institute
Indian Institute of Technology Madras,indian institute of technology madras,indian-institute-of-technology-madras,institute
Indian Institute of Technology Delhi,indian institute of technology delhi,indian-institute-of-technology-delhi,institute
Indian Institute of Technology Kharagpur,indian institute of technology kharagpur,indian-institute-of-technology-kharagpur,institute
Narsee Monjee Institute of Management and Higher Studies,narsee monjee institute of management and higher studies,narsee-monjee-institute-of-management-and-higher-studies,institute
Savitribai Phule Pune University,savitribai phule pune university,savitribai-phule-pune-university,institute
VIT University,vit university,vit-university,institute
Amity University,amity university,amity-university,institute
Indian Institute of Technology Guwahati,indian institute of technology guwahati,indian-institute-of-technology-guwahati,institute
Tata Institute of Fundamental Research,tata institute of fundamental research,tata-institute-of-fundamental-research,institute
Jawaharlal Nehru University,jawaharlal nehru university,jawaharlal-nehru-university,institute
Birla Institute of Technology and Science,birla institute of technology and science,birla-institute-of-technology-and-science,institute
Amrita Vishwa Vidyapeetham,amrita vishwa vidyapeetham,amrita-vishwa-vidyapeetham,institute
Indian Institute of Science,indian institute of science,indian-institute-of-science,institute
Manipal Academy of Higher Education,manipal academy of higher education,manipal-academy-of-higher-education,institute
International Institute of Information Technology, Hyderabad,international institute of information technology, hyderabad,international-institute-of-information-technology-hyderabad,institute
SRM Institute of Science and Technology,srm institute of science and technology,srm-institute-of-science-and-technology,institute
Lovely Professional University,lovely professional university,lovely-professional-university,institute
Tata Institute of Social Sciences,tata institute of social sciences,tata-institute-of-social-sciences,institute
Banaras Hindu University,banaras hindu university,banaras-hindu-university,institute
Anna University,anna university,anna-university,institute
University of Mumbai,university of mumbai,university-of-mumbai,institute
All India Institute of Medical Sciences Delhi,all india institute of medical sciences delhi,all-india-institute-of-medical-sciences-delhi,institute
Tamil Nadu Agricultural University,tamil nadu agricultural university,tamil-nadu-agricultural-university,institute
Gujarat Technological University,gujarat technological university,gujarat-technological-university,institute
Aligarh Muslim University,aligarh muslim university,aligarh-muslim-university,institute
Indian Institute of Technology Roorkee,indian institute of technology roorkee,indian-institute-of-technology-roorkee,institute
Chandigarh University,chandigarh university,chandigarh-university,institute
Indian Statistical Institute,indian statistical institute,indian-statistical-institute,institute
Christ University,christ university,christ-university,institute
Kurukshetra University,kurukshetra university,kurukshetra-university,institute
Guru Gobind Singh Indraprastha University,guru gobind singh indraprastha university,guru-gobind-singh-indraprastha-university,institute
Indian Institute of Technology Gandhinagar,indian institute of technology gandhinagar,indian-institute-of-technology-gandhinagar,institute
Osmania University,osmania university,osmania-university,institute
National Institute of Technology, Rourkela,national institute of technology, rourkela,national-institute-of-technology-rourkela,institute
Jamia Millia Islamia,jamia millia islamia,jamia-millia-islamia,institute
Cochin University of Science and Technology,cochin university of science and technology,cochin-university-of-science-and-technology,institute
National Institute of Design,national institute of design,national-institute-of-design,institute
National Institute of Technology, Tiruchirappalli,national institute of technology, tiruchirappalli,national-institute-of-technology-tiruchirappalli,institute
University of Hyderabad,university of hyderabad,university-of-hyderabad,institute
Dr. A.P.J. Abdul Kalam Technical University,dr. a.p.j. abdul kalam technical university,dr-apj-abdul-kalam-technical-university,institute
Indian Institute of Technology Hyderabad,indian institute of technology hyderabad,indian-institute-of-technology-hyderabad,institute
University of Petroleum and Energy Studies,university of petroleum and energy studies,university-of-petroleum-and-energy-studies,institute
University of Lucknow,university of lucknow,university-of-lucknow,institute
University of Calcutta,university of calcutta,university-of-calcutta,institute
Sharda University,sharda university,sharda-university,institute
University of Mysore,university of mysore,university-of-mysore,institute
National Institute of Fashion Technology,national institute of fashion technology,national-institute-of-fashion-technology,institute
University of Madras,university of madras,university-of-madras,institute
University of Calicut,university of calicut,university-of-calicut,institute
Visvesvaraya Technological University,visvesvaraya technological university,visvesvaraya-technological-university,institute
Panjab University,panjab university,panjab-university,institute
Pondicherry University,pondicherry university,pondicherry-university,institute
SASTRA University,sastra university,sastra-university,institute
Gandhi Institute of Technology and Management,gandhi institute of technology and management,gandhi-institute-of-technology-and-management,institute
Post Graduate Institute of Medical Education and Research,post graduate institute of medical education and research,post-graduate-institute-of-medical-education-and-research,institute
National Institute of Technology, Calicut,national institute of technology, calicut,national-institute-of-technology-calicut,institute
University of Kerala,university of kerala,university-of-kerala,institute
University of Rajasthan,university of rajasthan,university-of-rajasthan,institute
Thapar Institute of Engineering and Technology,thapar institute of engineering and technology,thapar-institute-of-engineering-and-technology,institute
The Maharaja Sayajirao University of Baroda,the maharaja sayajirao university of baroda,the-maharaja-sayajirao-university-of-baroda,institute
Mahatma Gandhi University,mahatma gandhi university,mahatma-gandhi-university,institute
National Law School of India University,national law school of india university,national-law-school-of-india-university,institute
Jadavpur University,jadavpur university,jadavpur-university,institute
Jawaharlal Institute of Postgraduate Medical Education and Research,jawaharlal institute of postgraduate medical education and research,jawaharlal-institute-of-postgraduate-medical-education-and-research,institute
Birla Institute of Technology,birla institute of technology,birla-institute-of-technology,institute
Nirma University,nirma university,nirma-university,institute
North Eastern Hill University,north eastern hill university,north-eastern-hill-university,institute
University of Allahabad,university of allahabad,university-of-allahabad,institute
Chitkara University, Punjab,chitkara university, punjab,chitkara-university-punjab,institute
Ashoka University,ashoka university,ashoka-university,institute
Maulana Abul Kalam Azad University of Technology, West Bengal,maulana abul kalam azad university of technology, west bengal,maulana-abul-kalam-azad-university-of-technology-west-bengal,institute
Annamalai University,annamalai university,annamalai-university,institute
Motilal Nehru National Institute of Technology Allahabad,motilal nehru national institute of technology allahabad,motilal-nehru-national-institute-of-technology-allahabad,institute
Delhi Technological University,delhi technological university,delhi-technological-university,institute
Indira Gandhi Institute of Development Research,indira gandhi institute of development research,indira-gandhi-institute-of-development-research,institute
National Institute of Mental Health and Neuro Sciences,national institute of mental health and neuro sciences,national-institute-of-mental-health-and-neuro-sciences,institute
