label,value,slug ,optionType
"ABS Academy of Polytechnic, Durgapur","abs academy of polytechnic, durgapur","abs-academy-of-polytechnic,-durgapur",institute
"ABS Academy of Science Technology and Management, Durgapur","abs academy of science technology and management, durgapur","abs-academy-of-science-technology-and-management,-durgapur",institute
"ABSS Institute of Technology, Meerut","abss institute of technology, meerut","abss-institute-of-technology,-meerut",institute
"Abu Road Polytechnic College, Aburoad","abu road polytechnic college, aburoad","abu-road-polytechnic-college,-aburoad",institute
"AC Patil College of Engineering, Navi Mumbai","ac patil college of engineering, navi mumbai","ac-patil-college-of-engineering,-navi-mumbai",institute
"Academy of Business Administration, Balasore","academy of business administration, balasore","academy-of-business-administration,-balasore",institute
"Academy of Management and Information Technology, Khurda","academy of management and information technology, khurda","academy-of-management-and-information-technology,-khurda",institute
"Academy of Management Studies, Hyderabad","academy of management studies, hyderabad","academy-of-management-studies,-hyderabad",institute
"Academy of Management, Bhopal","academy of management, bhopal","academy-of-management,-bhopal",institute
"Academy of Maritime Education and Training, Kanathur","academy of maritime education and training, kanathur","academy-of-maritime-education-and-training,-kanathur",institute
Academy of Scientific and Innovative Research Chennai,academy of scientific and innovative research chennai,academy-of-scientific-and-innovative-research-chennai,institute
"Academy of Technology, Hooghly","academy of technology, hooghly","academy-of-technology,-hooghly",institute
"ACCMAN Business School, Greater Noida","accman business school, greater noida","accman-business-school,-greater-noida",institute
"ACCMAN Institute of Management, Greater Noida","accman institute of management, greater noida","accman-institute-of-management,-greater-noida",institute
"Accord Business School, Tirupati","accord business school, tirupati","accord-business-school,-tirupati",institute
"Accurate Institute of Advanced Management, Greater Noida","accurate institute of advanced management, greater noida","accurate-institute-of-advanced-management,-greater-noida",institute
"Accurate Institute of Architecture and Planning, Greater Noida","accurate institute of architecture and planning, greater noida","accurate-institute-of-architecture-and-planning,-greater-noida",institute
"Accurate Institute of Management and Technology, Greater Noida","accurate institute of management and technology, greater noida","accurate-institute-of-management-and-technology,-greater-noida",institute
"Accurate Institute of Polytechnic, Greater Noida","accurate institute of polytechnic, greater noida","accurate-institute-of-polytechnic,-greater-noida",institute
"ACE College of Engineering and Management, Agra","ace college of engineering and management, agra","ace-college-of-engineering-and-management,-agra",institute
"ACE College of Engineering, Thiruvananthapuram","ace college of engineering, thiruvananthapuram","ace-college-of-engineering,-thiruvananthapuram",institute
"ACE Engineering College, Ghatkesar","ace engineering college, ghatkesar","ace-engineering-college,-ghatkesar",institute
"Achariya College of Engineering Technology, Puducherry","achariya college of engineering technology, puducherry","achariya-college-of-engineering-technology,-puducherry",institute
"Acharya Baldev Polytechnic College, Jaunpur","acharya baldev polytechnic college, jaunpur","acharya-baldev-polytechnic-college,-jaunpur",institute
"Acharya College of Engineering, Badvel","acharya college of engineering, badvel","acharya-college-of-engineering,-badvel",institute
"Acharya Institute Graduate Studies, Bangalore","acharya institute graduate studies, bangalore","acharya-institute-graduate-studies,-bangalore",institute
"Acharya Institute of Health Sciences, Bangalore","acharya institute of health sciences, bangalore","acharya-institute-of-health-sciences,-bangalore",institute
"Acharya Institute of Technology, Bangalore","acharya institute of technology, bangalore","acharya-institute-of-technology,-bangalore",institute
"Acharya Jagadish Chandra Bose Polytechnic, North 24 Parganas","acharya jagadish chandra bose polytechnic, north 24 parganas","acharya-jagadish-chandra-bose-polytechnic,-north-24-parganas",institute
Acharya N.G. Ranga Agricultural University,acharya n.g. ranga agricultural university,acharya-n.g.-ranga-agricultural-university,institute
"Acharya Nagarjuna University College of Architecture and Planning, Nagarjuna Nagar","acharya nagarjuna university college of architecture and planning, nagarjuna nagar","acharya-nagarjuna-university-college-of-architecture-and-planning,-nagarjuna-nagar",institute
"Acharya Nagarjuna University, Guntur","acharya nagarjuna university, guntur","acharya-nagarjuna-university,-guntur",institute
"Acharya Nagarjuna University, Ongole Campus","acharya nagarjuna university, ongole campus","acharya-nagarjuna-university,-ongole-campus",institute
"Acharya Narendra Dev College, New Delhi","acharya narendra dev college, new delhi","acharya-narendra-dev-college,-new-delhi",institute
"Acharya NG Ranga Agricultural University, Guntur","acharya ng ranga agricultural university, guntur","acharya-ng-ranga-agricultural-university,-guntur",institute
"Acharya Patashala Polytechnic, Bangalore","acharya patashala polytechnic, bangalore","acharya-patashala-polytechnic,-bangalore",institute
"Acharya Polytechnic, Bangalore","acharya polytechnic, bangalore","acharya-polytechnic,-bangalore",institute
"Acharya Prafulla Chandra College, Kolkata","acharya prafulla chandra college, kolkata","acharya-prafulla-chandra-college,-kolkata",institute
"Acharya Prafulla Chandra Ray Polytechnic, Kolkata","acharya prafulla chandra ray polytechnic, kolkata","acharya-prafulla-chandra-ray-polytechnic,-kolkata",institute
"Acharya School of Design, Bangalore","acharya school of design, bangalore","acharya-school-of-design,-bangalore",institute
"Acharya Shrimannarayan Polytechnic, Wardha","acharya shrimannarayan polytechnic, wardha","acharya-shrimannarayan-polytechnic,-wardha",institute
"Acharya Vinoba Bhave Institute of Technology, Wardha","acharya vinoba bhave institute of technology, wardha","acharya-vinoba-bhave-institute-of-technology,-wardha",institute
"Acharya's NRV School of Architecture, Bangalore","acharya's nrv school of architecture, bangalore","acharya's-nrv-school-of-architecture,-bangalore",institute
"Achutha Institute of Technology, Chikkaballapur","achutha institute of technology, chikkaballapur","achutha-institute-of-technology,-chikkaballapur",institute
"ACME College of Engineering, Ghaziabad","acme college of engineering, ghaziabad","acme-college-of-engineering,-ghaziabad",institute
"ACN College of Engineering and Management Studies, Aligarh","acn college of engineering and management studies, aligarh","acn-college-of-engineering-and-management-studies,-aligarh",institute
