label,value,slug ,optionType
Chemical Science and Technology,chemical science and technology,chemical-science-and-technology,specialization
Chemistry,chemistry,chemistry,specialization
Child Guidance and Family Counselling,child guidance and family counselling,child-guidance-and-family-counselling,specialization
Child Health Nursing,child health nursing,child-health-nursing,specialization
Civil Engineering,civil engineering,civil-engineering,specialization
Civil Infrastructure Engineering,civil infrastructure engineering,civil-infrastructure-engineering,specialization
Civil Procedure Code,civil procedure code,civil-procedure-code,specialization
Clinical Haematology,clinical haematology,clinical-haematology,specialization
Clinical Microbiology,clinical microbiology,clinical-microbiology,specialization
Clinical Nutrition,clinical nutrition,clinical-nutrition,specialization
Clinical Pharmacology,clinical pharmacology,clinical-pharmacology,specialization
Clinical Psychology,clinical psychology,clinical-psychology,specialization
Clinical Research,clinical research,clinical-research,specialization
Clinical Research and Regulatory Affairs,clinical research and regulatory affairs,clinical-research-and-regulatory-affairs,specialization
Clothing and Textiles,clothing and textiles,clothing-and-textiles,specialization
Cloud Computing and Virtualization Technology,cloud computing and virtualization technology,cloud-computing-and-virtualization-technology,specialization
Co-Operation and Banking,co-operation and banking,co-operation-and-banking,specialization
Coastal and Disaster Management,coastal and disaster management,coastal-and-disaster-management,specialization
Code of Criminal Procedure,code of criminal procedure,code-of-criminal-procedure,specialization
Communication Design,communication design,communication-design,specialization
Communication Media,communication media,communication-media,specialization
Communication Systems,communication systems,communication-systems,specialization
Community Health Nursing,community health nursing,community-health-nursing,specialization
Community Medicine,community medicine,community-medicine,specialization
Company Law,company law,company-law,specialization
Comparative Law,comparative law,comparative-law,specialization
Computational Biology,computational biology,computational-biology,specialization
Computer and Information Science,computer and information science,computer-and-information-science,specialization
Computer Animation and Visual Effects,computer animation and visual effects,computer-animation-and-visual-effects,specialization
Computer Application,computer application,computer-application,specialization
Computer Communication,computer communication,computer-communication,specialization
Computer Controlled Industrial Power,computer controlled industrial power,computer-controlled-industrial-power,specialization
Computer Engineering,computer engineering,computer-engineering,specialization
Computer Integrated Manufacturing,computer integrated manufacturing,computer-integrated-manufacturing,specialization
